Store,Dept,Date,Weekly_Sales,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday
1,1,2012-08-24,16286.4,77.66,3.62,6237.83,260.06,2.97,3463.03,7988.25,222.1719457,6.908,False
1,1,2012-08-31,16680.24,80.49,3.638,21442.73,102.32,21.7,13209.64,3032.96,222.3054805,6.908,False
1,1,2012-09-07,18322.37,83.96,3.73,5204.68,35.74,50.94,4120.32,2737.17,222.4390153,6.908,True
1,1,2012-09-14,19616.22,74.97,3.717,17212.52,7.0,18.79,1523.11,7992.72,222.5820193,6.908,False
1,1,2012-09-21,19251.5,69.87,3.721,6352.3,7.64,4.69,1010.06,6456.71,222.7818386,6.908,False
1,1,2012-09-28,18947.81,76.08,3.666,3666.27,7.64,1.65,1417.96,4744.28,222.9816579,6.908,False
1,1,2012-10-05,21904.47,68.55,3.617,8077.89,,18.22,3617.43,3626.14,223.1814772,6.573,False
1,1,2012-10-12,22764.01,62.99,3.601,2086.18,,8.11,602.36,5926.45,223.3812965,6.573,False
1,1,2012-10-19,24185.27,67.97,3.594,950.33,,4.93,80.25,2312.85,223.4257233,6.573,False
1,1,2012-10-26,27390.81,69.16,3.506,2585.85,31.75,6.0,1057.16,1305.01,223.4442513,6.573,False
1,2,2010-02-05,50605.27,42.31,2.572,,,,,,211.0963582,8.106,False
1,2,2010-02-12,44682.74,38.51,2.548,,,,,,211.2421698,8.106,True
1,2,2010-02-19,47928.89,39.93,2.514,,,,,,211.2891429,8.106,False
1,2,2010-02-26,44292.87,46.63,2.561,,,,,,211.3196429,8.106,False
1,2,2010-03-05,48397.98,46.5,2.625,,,,,,211.3501429,8.106,False
1,2,2010-03-12,43751.94,57.79,2.667,,,,,,211.3806429,8.106,False
1,2,2010-03-19,43615.49,54.58,2.72,,,,,,211.215635,8.106,False
1,2,2010-03-26,41892.55,51.45,2.732,,,,,,211.0180424,8.106,False
1,2,2010-04-02,47450.5,62.27,2.719,,,,,,210.8204499,7.808,False
1,2,2010-04-09,46549.73,65.86,2.77,,,,,,210.6228574,7.808,False
1,2,2010-04-16,45025.02,66.32,2.808,,,,,,210.4887,7.808,False
1,2,2010-04-23,44418.11,64.84,2.795,,,,,,210.4391228,7.808,False
1,2,2010-04-30,45971.3,67.41,2.78,,,,,,210.3895456,7.808,False
1,2,2010-05-07,47903.01,72.55,2.835,,,,,,210.3399684,7.808,False
1,2,2010-05-14,43675.61,74.78,2.854,,,,,,210.3374261,7.808,False
1,2,2010-05-21,44319.15,76.44,2.826,,,,,,210.6170934,7.808,False
1,2,2010-05-28,44619.52,80.44,2.759,,,,,,210.8967606,7.808,False
1,2,2010-06-04,48754.47,80.69,2.705,,,,,,211.1764278,7.808,False
1,2,2012-10-12,42112.67,62.99,3.601,2086.18,,8.11,602.36,5926.45,223.3812965,6.573,False
1,2,2012-10-19,42354.72,67.97,3.594,950.33,,4.93,80.25,2312.85,223.4257233,6.573,False
1,2,2012-10-26,43134.88,69.16,3.506,2585.85,31.75,6.0,1057.16,1305.01,223.4442513,6.573,False
1,3,2012-09-07,18368.51,83.96,3.73,5204.68,35.74,50.94,4120.32,2737.17,222.4390153,6.908,True
1,3,2012-09-14,14288.22,74.97,3.717,17212.52,7.0,18.79,1523.11,7992.72,222.5820193,6.908,False
1,3,2012-09-21,13403.63,69.87,3.721,6352.3,7.64,4.69,1010.06,6456.71,222.7818386,6.908,False
1,3,2012-09-28,13085.95,76.08,3.666,3666.27,7.64,1.65,1417.96,4744.28,222.9816579,6.908,False
1,3,2012-10-05,11676.98,68.55,3.617,8077.89,,18.22,3617.43,3626.14,223.1814772,6.573,False
1,3,2012-10-12,10487.17,62.99,3.601,2086.18,,8.11,602.36,5926.45,223.3812965,6.573,False
1,3,2012-10-19,8548.87,67.97,3.594,950.33,,4.93,80.25,2312.85,223.4257233,6.573,False
1,3,2012-10-26,9350.9,69.16,3.506,2585.85,31.75,6.0,1057.16,1305.01,223.4442513,6.573,False
1,5,2012-03-02,30642.53,60.96,3.63,15441.4,1569.0,10.8,25390.88,8067.61,220.8480454,7.348,False
1,5,2012-03-09,25492.21,58.76,3.669,10331.04,151.88,6.0,671.43,5509.84,221.0591887,7.348,False
1,5,2012-03-16,29345.72,64.74,3.734,4298.16,7.5,2.02,2724.65,2017.69,221.2118132,7.348,False
1,5,2012-03-23,25442.13,65.93,3.787,6118.56,9.48,4.97,426.72,3657.22,221.2864126,7.348,False
1,5,2012-03-30,22392.09,67.61,3.845,10309.58,0.5,10.25,1654.17,2642.78,221.3610119,7.348,False
1,5,2012-04-06,28386.81,70.43,3.891,10121.97,,77.98,3750.59,4510.72,221.4356112,7.143,False
1,5,2012-04-13,18458.33,69.07,3.891,6186.19,3288.69,17.07,1822.55,1063.78,221.5102105,7.143,False
1,5,2012-04-20,16645.01,66.76,3.877,2230.8,612.02,19.75,275.13,5747.1,221.5640737,7.143,False
1,5,2012-04-27,17170.39,67.23,3.814,3221.25,,35.49,577.14,6222.25,221.6179368,7.143,False
1,5,2012-05-04,18953.07,75.55,3.749,21290.13,,69.89,4977.35,3261.04,221.6718,7.143,False
1,5,2012-05-11,17277.63,73.77,3.688,8351.4,,10.52,2443.14,3127.88,221.7256632,7.143,False
1,5,2012-05-18,17955.73,70.33,3.63,6154.14,,45.11,1675.49,5508.18,221.742674,7.143,False
1,5,2012-05-25,18625.67,77.22,3.561,4039.39,,745.19,1429.96,3631.13,221.744944,7.143,False
1,5,2012-06-01,17233.25,77.95,3.501,6086.21,12.0,370.51,148.75,3690.85,221.7472139,7.143,False
1,5,2012-06-08,24752.99,78.3,3.452,8813.81,116.8,64.55,2652.04,7161.91,221.7494839,7.143,False
1,5,2012-06-15,21376.63,79.35,3.393,5621.99,109.6,0.25,2420.28,3083.26,221.7626421,7.143,False
1,5,2012-06-22,24337.24,78.39,3.346,8624.56,171.25,3.05,2524.07,7063.68,221.8030211,7.143,False
1,5,2012-06-29,20233.9,84.88,3.286,3965.73,161.6,,435.99,4212.97,221.8434,7.143,False
1,5,2012-07-06,19684.48,81.57,3.227,12218.76,94.4,192.83,4066.01,6149.04,221.8837789,6.908,False
1,5,2012-07-13,18089.61,77.12,3.256,7218.13,45.2,36.24,3909.38,2596.37,221.9241579,6.908,False
1,5,2012-07-20,17896.46,80.42,3.311,3213.0,313.72,9.53,2262.02,3228.19,221.9327267,6.908,False
1,5,2012-07-27,14105.4,82.66,3.407,7146.9,389.02,1.59,10267.54,4325.19,221.9412954,6.908,False
1,5,2012-08-03,17615.28,86.11,3.417,27584.78,119.98,30.23,12007.04,4661.71,221.9498642,6.908,False
1,5,2012-08-10,18232.46,85.05,3.494,11436.22,245.0,6.85,6964.26,4836.22,221.9584329,6.908,False
1,5,2012-08-17,15440.65,84.85,3.571,3662.06,137.86,4.84,2752.2,3446.15,222.0384109,6.908,False
1,5,2012-08-24,22446.23,77.66,3.62,6237.83,260.06,2.97,3463.03,7988.25,222.1719457,6.908,False
1,5,2012-08-31,18615.76,80.49,3.638,21442.73,102.32,21.7,13209.64,3032.96,222.3054805,6.908,False
1,5,2012-09-07,18236.15,83.96,3.73,5204.68,35.74,50.94,4120.32,2737.17,222.4390153,6.908,True
1,5,2012-09-14,19369.52,74.97,3.717,17212.52,7.0,18.79,1523.11,7992.72,222.5820193,6.908,False
1,5,2012-09-21,25798.78,69.87,3.721,6352.3,7.64,4.69,1010.06,6456.71,222.7818386,6.908,False
1,5,2012-09-28,22560.39,76.08,3.666,3666.27,7.64,1.65,1417.96,4744.28,222.9816579,6.908,False
1,5,2012-10-05,25508.81,68.55,3.617,8077.89,,18.22,3617.43,3626.14,223.1814772,6.573,False
1,5,2012-10-12,20920.03,62.99,3.601,2086.18,,8.11,602.36,5926.45,223.3812965,6.573,False
1,5,2012-10-19,20413.83,67.97,3.594,950.33,,4.93,80.25,2312.85,223.4257233,6.573,False
1,5,2012-10-26,25846.94,69.16,3.506,2585.85,31.75,6.0,1057.16,1305.01,223.4442513,6.573,False
2,1,2012-01-06,20481.45,46.75,3.157,5886.72,37454.29,121.16,2388.92,7103.97,219.355063,7.057,False
2,1,2012-01-13,21569.9,45.99,3.261,4414.72,12092.63,98.38,708.18,4245.6,219.5328198,7.057,False
2,1,2012-01-20,23397.02,51.7,3.268,6552.26,4355.69,105.97,1703.1,3376.03,219.6258417,7.057,False
2,1,2012-01-27,22833.08,50.5,3.29,1920.15,1507.56,86.09,43.4,2613.53,219.7188636,7.057,False
2,1,2012-02-03,28813.06,55.21,3.36,75149.79,3818.85,221.4,48159.86,7423.61,219.8118854,7.057,False
2,1,2012-02-10,41247.02,46.98,3.409,13510.89,6674.42,94.07,14114.9,9577.83,219.9049073,7.057,True
2,1,2012-02-17,77394.09,43.82,3.51,13942.54,14273.24,15.76,4927.14,6650.08,220.0651993,7.057,False
2,1,2012-02-24,25613.67,54.63,3.555,13048.36,12059.1,10.2,5299.73,10380.03,220.275944,7.057,False
2,1,2012-03-02,25556.15,58.79,3.63,23901.27,2144.7,9.0,9799.63,4929.53,220.4866886,7.057,False
2,1,2012-03-09,26173.93,57.11,3.669,11784.91,368.32,3.0,2498.17,7746.0,220.6974332,7.057,False
2,1,2012-03-16,27320.08,63.68,3.734,5965.99,230.42,3.0,2650.77,2073.81,220.8498468,7.057,False
2,1,2012-03-23,29868.82,64.01,3.787,6008.98,139.93,6.63,1650.49,5263.08,220.9244858,7.057,False
2,1,2012-03-30,37052.68,66.83,3.845,14369.3,164.77,17.0,1017.31,3470.49,220.9991248,7.057,False
2,1,2012-04-06,75970.97,68.43,3.891,12132.59,1.3,32.58,4874.69,5535.13,221.0737638,6.891,False
2,1,2012-04-13,56093.13,68.08,3.891,8994.04,6573.08,20.21,4162.2,1966.38,221.1484028,6.891,False
2,1,2012-04-20,22568.57,65.69,3.877,7311.02,2236.2,33.53,878.07,4080.32,221.2021074,6.891,False
2,1,2012-04-27,22414.38,67.2,3.814,3076.68,,38.32,108.71,2708.9,221.255812,6.891,False
2,1,2012-05-04,22711.04,76.73,3.749,23731.47,,78.09,7931.42,4443.52,221.3095166,6.891,False
2,1,2012-05-11,25661.21,73.87,3.688,16519.5,,117.38,5131.02,3634.25,221.3632212,6.891,False
2,1,2012-05-18,25982.7,71.27,3.63,9262.12,,42.67,3694.8,4612.01,221.380331,6.891,False
2,1,2012-05-25,23561.25,78.19,3.561,10701.32,,1030.53,3595.04,14920.27,221.3828029,6.891,False
2,1,2012-06-01,23076.47,78.38,3.501,13091.33,21.0,245.37,2993.15,5521.72,221.3852748,6.891,False
2,1,2012-06-08,24826.25,78.69,3.452,12162.04,463.6,78.39,3610.78,10877.64,221.3877467,6.891,False
2,1,2012-06-15,24016.43,80.56,3.393,8573.41,195.0,0.19,4455.38,5288.61,221.4009901,6.891,False
2,1,2012-06-22,24155.67,81.04,3.346,12126.02,314.0,60.99,6058.6,36430.33,221.4411622,6.891,False
2,1,2012-06-29,23580.74,86.32,3.286,8495.34,275.8,,1935.16,5686.13,221.4813343,6.891,False
2,1,2012-07-06,24052.7,84.2,3.227,12355.5,295.05,100.15,6720.4,5506.53,221.5215064,6.565,False
2,1,2012-07-13,23148.57,80.17,3.256,8354.65,342.25,20.53,5674.44,5012.22,221.5616784,6.565,False
2,1,2012-07-20,23813.13,83.23,3.311,6961.58,241.2,24.97,3401.36,2453.42,221.5701123,6.565,False
2,1,2012-07-27,23025.51,86.37,3.407,6999.14,197.72,2.53,6319.33,5007.01,221.5785461,6.565,False
2,1,2012-08-03,22851.99,90.22,3.417,27650.68,164.58,43.02,21801.9,6652.98,221.5869799,6.565,False
2,1,2012-08-10,23261.95,88.55,3.494,5554.54,142.3,13.43,4187.43,5286.19,221.5954138,6.565,False
2,1,2012-08-17,24793.54,84.79,3.571,4774.16,330.78,10.53,4253.28,4927.26,221.6751459,6.565,False
2,1,2012-08-24,22839.77,76.91,3.62,4759.7,211.38,6.62,2972.88,5102.26,221.8083518,6.565,False
2,1,2012-08-31,25343.45,82.64,3.638,17500.26,73.22,21.38,12878.62,4756.5,221.9415576,6.565,False
2,1,2012-09-07,25270.06,87.65,3.73,10658.86,149.28,60.97,2920.9,3275.57,222.0747635,6.565,True
2,1,2012-09-14,26435.2,75.88,3.717,8325.93,,37.32,1808.69,9314.55,222.2174395,6.565,False
2,1,2012-09-21,26303.04,71.09,3.721,6707.94,3.82,15.55,1001.42,7607.94,222.4169362,6.565,False
2,1,2012-09-28,27159.07,79.45,3.666,7106.05,1.91,1.65,1549.1,3946.03,222.6164329,6.565,False
2,1,2012-10-05,30789.27,70.27,3.617,6037.76,,10.04,3027.37,3853.4,222.8159296,6.17,False
2,1,2012-10-12,34070.0,60.97,3.601,2145.5,,33.31,586.83,10421.01,223.0154263,6.17,False
2,1,2012-10-19,35897.95,68.08,3.594,4461.89,,1.14,1579.67,2642.29,223.0598077,6.17,False
2,1,2012-10-26,41615.24,69.79,3.506,6152.59,129.77,200.0,272.29,2924.15,223.0783366,6.17,False
2,2,2012-01-06,64877.05,46.75,3.157,5886.72,37454.29,121.16,2388.92,7103.97,219.355063,7.057,False
2,2,2012-01-13,62505.79,45.99,3.261,4414.72,12092.63,98.38,708.18,4245.6,219.5328198,7.057,False
2,2,2012-01-20,61438.15,51.7,3.268,6552.26,4355.69,105.97,1703.1,3376.03,219.6258417,7.057,False
2,2,2012-01-27,58151.34,50.5,3.29,1920.15,1507.56,86.09,43.4,2613.53,219.7188636,7.057,False
2,2,2012-02-03,71322.01,55.21,3.36,75149.79,3818.85,221.4,48159.86,7423.61,219.8118854,7.057,False
2,2,2012-02-10,69165.6,46.98,3.409,13510.89,6674.42,94.07,14114.9,9577.83,219.9049073,7.057,True
2,2,2012-02-17,70027.01,43.82,3.51,13942.54,14273.24,15.76,4927.14,6650.08,220.0651993,7.057,False
2,2,2012-02-24,66451.66,54.63,3.555,13048.36,12059.1,10.2,5299.73,10380.03,220.275944,7.057,False
2,2,2012-03-02,70768.55,58.79,3.63,23901.27,2144.7,9.0,9799.63,4929.53,220.4866886,7.057,False
2,2,2012-03-09,66870.9,57.11,3.669,11784.91,368.32,3.0,2498.17,7746.0,220.6974332,7.057,False
2,2,2012-03-16,68851.41,63.68,3.734,5965.99,230.42,3.0,2650.77,2073.81,220.8498468,7.057,False
2,2,2012-03-23,63447.81,64.01,3.787,6008.98,139.93,6.63,1650.49,5263.08,220.9244858,7.057,False
2,2,2012-03-30,63778.8,66.83,3.845,14369.3,164.77,17.0,1017.31,3470.49,220.9991248,7.057,False
2,2,2012-04-06,70382.23,68.43,3.891,12132.59,1.3,32.58,4874.69,5535.13,221.0737638,6.891,False
2,2,2012-04-13,61390.48,68.08,3.891,8994.04,6573.08,20.21,4162.2,1966.38,221.1484028,6.891,False
2,2,2012-04-20,67363.12,65.69,3.877,7311.02,2236.2,33.53,878.07,4080.32,221.2021074,6.891,False
2,2,2012-04-27,61562.95,67.2,3.814,3076.68,,38.32,108.71,2708.9,221.255812,6.891,False
2,2,2012-05-04,67046.93,76.73,3.749,23731.47,,78.09,7931.42,4443.52,221.3095166,6.891,False
2,2,2012-05-11,61750.11,73.87,3.688,16519.5,,117.38,5131.02,3634.25,221.3632212,6.891,False
2,2,2012-05-18,63948.19,71.27,3.63,9262.12,,42.67,3694.8,4612.01,221.380331,6.891,False
2,2,2012-05-25,66419.23,78.19,3.561,10701.32,,1030.53,3595.04,14920.27,221.3828029,6.891,False
2,2,2012-06-01,64912.65,78.38,3.501,13091.33,21.0,245.37,2993.15,5521.72,221.3852748,6.891,False
2,2,2012-06-08,70841.55,78.69,3.452,12162.04,463.6,78.39,3610.78,10877.64,221.3877467,6.891,False
2,2,2012-06-15,66904.1,80.56,3.393,8573.41,195.0,0.19,4455.38,5288.61,221.4009901,6.891,False
2,2,2012-06-22,68915.17,81.04,3.346,12126.02,314.0,60.99,6058.6,36430.33,221.4411622,6.891,False
2,2,2012-06-29,66611.66,86.32,3.286,8495.34,275.8,,1935.16,5686.13,221.4813343,6.891,False
2,2,2012-07-06,70409.25,84.2,3.227,12355.5,295.05,100.15,6720.4,5506.53,221.5215064,6.565,False
2,2,2012-07-13,65225.27,80.17,3.256,8354.65,342.25,20.53,5674.44,5012.22,221.5616784,6.565,False
2,2,2012-07-20,65537.3,83.23,3.311,6961.58,241.2,24.97,3401.36,2453.42,221.5701123,6.565,False
2,2,2012-07-27,66605.41,86.37,3.407,6999.14,197.72,2.53,6319.33,5007.01,221.5785461,6.565,False
2,2,2012-08-03,69431.69,90.22,3.417,27650.68,164.58,43.02,21801.9,6652.98,221.5869799,6.565,False
2,2,2012-08-10,67146.39,88.55,3.494,5554.54,142.3,13.43,4187.43,5286.19,221.5954138,6.565,False
2,2,2012-08-17,68857.79,84.79,3.571,4774.16,330.78,10.53,4253.28,4927.26,221.6751459,6.565,False
2,2,2012-08-24,68175.69,76.91,3.62,4759.7,211.38,6.62,2972.88,5102.26,221.8083518,6.565,False
2,2,2012-08-31,72899.98,82.64,3.638,17500.26,73.22,21.38,12878.62,4756.5,221.9415576,6.565,False
2,2,2012-09-07,66273.96,87.65,3.73,10658.86,149.28,60.97,2920.9,3275.57,222.0747635,6.565,True
2,2,2012-09-14,63984.36,75.88,3.717,8325.93,,37.32,1808.69,9314.55,222.2174395,6.565,False
2,2,2012-09-21,66350.75,71.09,3.721,6707.94,3.82,15.55,1001.42,7607.94,222.4169362,6.565,False
2,2,2012-09-28,61500.04,79.45,3.666,7106.05,1.91,1.65,1549.1,3946.03,222.6164329,6.565,False
2,2,2012-10-05,67497.08,70.27,3.617,6037.76,,10.04,3027.37,3853.4,222.8159296,6.17,False
2,2,2012-10-12,59664.89,60.97,3.601,2145.5,,33.31,586.83,10421.01,223.0154263,6.17,False
2,2,2012-10-19,64137.69,68.08,3.594,4461.89,,1.14,1579.67,2642.29,223.0598077,6.17,False
2,2,2012-10-26,62475.44,69.79,3.506,6152.59,129.77,200.0,272.29,2924.15,223.0783366,6.17,False
2,5,2012-10-26,30891.9,69.79,3.506,6152.59,129.77,200.0,272.29,2924.15,223.0783366,6.17,False
